x,y,z,Raw q1,,q1,Raw q2,,q2,Raw q3,,q3,Raw q4,,q4
175,-137.5,-5,1595,1600.5,-39.2967033,2734,2757.5,-62.41758242,2187,2218.5,-15.03296703,768,773.5,76.8328
175,-137.5,0,1596,1601.5,-39.20879121,2729,2752.5,-61.97802198,2194,2225.5,-12.87912088,763,768.5,75.3666
175,-137.5,15,1597,1602.5,-39.12087912,2664,2687.5,-56.26373626,2223,2254.5,-15.42857143,759,764.5,74.1935
175,-137.5,30,1601,1606.5,-38.76923077,2616,2639.5,-52.04395604,2244,2275.5,-17.27472527,752,757.5,72.1408
175,-137.5,45,1585,1590.5,-40.17582418,2567,2590.5,-47.73626374,2260,2291.5,-18.68131868,744,749.5,69.7947
175,-137.5,60,1588,1593.5,-39.91208791,2517,2540.5,-43.34065934,2270,2301.5,-19.56043956,732,737.5,66.2757
175,-137.5,75,1586,1591.5,-40.08791209,2475,2498.5,-39.64835165,2280,2311.5,-20.43956044,722,727.5,63.3431
175,-137.5,90,1585,1590.5,-40.17582418,2432,2455.5,-35.86813187,2278,2309.5,-20.26373626,704,709.5,58.0645
175,-137.5,105,1589,1594.5,-39.82417582,2396,2419.5,-32.7032967,2273,2304.5,-19.82417582,691,696.5,54.2522
137.5,0,-5,2027,2032.5,-1.318681319,2723,2746.5,-61.45054945,2471,2502.5,-37.23076923,851,856.5,101.1730
137.5,0,-5,2024,2029.5,-1.582417582,2715,2738.5,-60.74725275,2465,2496.5,-36.7032967,839,844.5,97.6540
137.5,0,-5,2026,2031.5,-1.406593407,2720,2743.5,-61.18681319,2469,2500.5,-37.05494505,846,851.5,99.7067
150,0,-5,2024,2029.5,-1.582417582,2712,2735.5,-60.48351648,2435,2466.5,-34.06593407,835,840.5,96.4809
162.5,0,-5,2031,2036.5,-0.967032967,2709,2732.5,-60.21978022,2398,2429.5,-30.81318681,825,830.5,93.5484
175,0,-5,2031,2036.5,-0.967032967,2707,2730.5,-60.04395604,2352,2383.5,-26.76923077,807,812.5,88.2698
187.5,0,-5,2031,2036.5,-0.967032967,2708,2731.5,-60.13186813,2310,2341.5,-23.07692308,795,800.5,84.7507
200,0,-5,2031,2036.5,-0.967032967,2712,2735.5,-60.48351648,2267,2298.5,-19.2967033,784,789.5,81.5249
212.5,0,-5,2031,2036.5,-0.967032967,2719,2742.5,-61.0989011,2223,2254.5,-15.42857143,772,777.5,78.0059
225,0,-5,2030,2035.5,-1.054945055,2728,2751.5,-61.89010989,2180,2211.5,-11.64835165,766,771.5,76.2463
237.5,0,-5,2031,2036.5,-0.967032967,2737,2760.5,-62.68131868,2133,2164.5,-7.516483516,755,760.5,73.0205
250,0,-5,2032,2037.5,-0.879120879,2748,2771.5,-63.64835165,2081,2112.5,-2.945054945,746,751.5,70.3812
262.5,0,-5,2034,2039.5,-0.703296703,2765,2788.5,-65.14285714,2029,2060.5,1.626373626,732,737.5,66.2757
137.5,-12.5,-5,1965,1970.5,-6.769230769,2723,2746.5,-61.45054945,2468,2499.5,-36.96703297,852,857.5,101.4663
150,-12.5,-5,1966,1971.5,-6.681318681,2715,2738.5,-60.74725275,2431,2462.5,-33.71428571,834,839.5,96.1877
162.5,-12.5,-5,1970,1975.5,-6.32967033,2708,2731.5,-60.13186813,2394,2425.5,-30.46153846,820,825.5,92.0821
175,-12.5,-5,1978,1983.5,-5.626373626,2705,2728.5,-59.86813187,2352,2383.5,-26.76923077,807,812.5,88.2698
187.5,-12.5,-5,1979,1984.5,-5.538461538,2706,2729.5,-59.95604396,2312,2343.5,-23.25274725,797,802.5,85.3372
200,-12.5,-5,1984,1989.5,-5.098901099,2713,2736.5,-60.57142857,2270,2301.5,-19.56043956,787,792.5,82.4047
212.5,-12.5,-5,1988,1993.5,-4.747252747,2720,2743.5,-61.18681319,2226,2257.5,-15.69230769,775,780.5,78.8856
225,-12.5,-5,1990,1995.5,-4.571428571,2728,2751.5,-61.89010989,2179,2210.5,-11.56043956,765,770.5,75.9531
237.5,-12.5,-5,1992,1997.5,-4.395604396,2734,2757.5,-62.41758242,2132,2163.5,-7.428571429,756,761.5,73.3138
250,-12.5,-5,1992,1997.5,-4.395604396,2748,2771.5,-63.64835165,2085,2116.5,-3.296703297,750,755.5,71.5543
262.5,-12.5,-5,1994,1999.5,-4.21978022,2764,2787.5,-65.05494505,2030,2061.5,1.538461538,735,740.5,67.1554
87.5,-137.5,-5,1381,1386.5,-58.10989011,2712,2735.5,-60.48351648,2392,2423.5,-30.28571429,822,827.5,92.6686
87.5,-150,-5,1352,1357.5,-60.65934066,2712,2735.5,-60.48351648,2357,2388.5,-27.20879121,809,814.5,88.8563
87.5,-162.5,-5,1333,1338.5,-62.32967033,2713,2736.5,-60.57142857,2320,2351.5,-23.95604396,800,805.5,86.2170
87.5,-175,-5,1318,1323.5,-63.64835165,2716,2739.5,-60.83516484,2282,2313.5,-20.61538462,794,799.5,84.4575
87.5,-187.5,-5,1298,1303.5,-65.40659341,2721,2744.5,-61.27472527,2246,2277.5,-17.45054945,783,788.5,81.2317
87.5,-200,-5,1282,1287.5,-66.81318681,2729,2752.5,-61.97802198,2201,2232.5,-13.49450549,770,775.5,77.4194
87.5,-212.5,-5,1270,1275.5,-67.86813187,2734,2757.5,-62.41758242,2158,2189.5,-9.714285714,763,768.5,75.3666
87.5,-225,-5,1255,1260.5,-69.18681319,2747,2770.5,-63.56043956,2112,2143.5,-5.67032967,752,757.5,72.1408
87.5,-237.5,-5,1247,1252.5,-69.89010989,2761,2784.5,-64.79120879,2065,2096.5,-1.538461538,742,747.5,69.2082
87.5,-250,-5,1234,1239.5,-71.03296703,2774,2797.5,-65.93406593,2016,2047.5,2.769230769,732,737.5,66.2757
87.5,-137.5,15,1374,1379.5,-58.72527473,2635,2658.5,-53.71428571,2430,2461.5,-33.62637363,815,820.5,90.6158
87.5,-150,15,1356,1361.5,-60.30769231,2636,2659.5,-53.8021978,2395,2426.5,-30.54945055,806,811.5,87.9765
87.5,-162.5,15,1336,1341.5,-62.06593407,2638,2661.5,-53.97802198,2356,2387.5,-27.12087912,794,799.5,84.4575
87.5,-175,15,1314,1319.5,-64,2641,2664.5,-54.24175824,2318,2349.5,-23.78021978,785,790.5,81.8182
87.5,-187.5,15,1300,1305.5,-65.23076923,2653,2676.5,-55.2967033,2278,2309.5,-20.26373626,772,777.5,78.0059
87.5,-200,15,1282,1287.5,-66.81318681,2660,2683.5,-55.91208791,2238,2269.5,-16.74725275,766,771.5,76.2463
87.5,-212.5,15,1272,1277.5,-67.69230769,2672,2695.5,-56.96703297,2191,2222.5,-12.61538462,754,759.5,72.7273
87.5,-225,15,1255,1260.5,-69.18681319,2683,2706.5,-57.93406593,2146,2177.5,-8.659340659,747,752.5,70.6745
87.5,-237.5,15,1244,1249.5,-70.15384615,2700,2723.5,-59.42857143,2099,2130.5,-4.527472527,735,740.5,67.1554
87.5,-250,15,1236,1241.5,-70.85714286,2716,2739.5,-60.83516484,2045,2076.5,0.21978022,721,726.5,63.0499
