37.5,187.5,-3,90
37.378,187.62,-1.6987,90.057
37.133,187.86,1.7038,90.171
36.95,188.03,6.4557,90.256
37.011,187.97,11.805,90.227
37.5,187.5,17,90
38.563,186.47,21.424,89.505
40.201,184.88,25.002,88.74
42.377,182.75,27.794,87.719
45.054,180.12,29.861,86.457
48.196,177.01,31.263,84.967
51.766,173.47,32.06,83.264
55.728,169.5,32.313,81.362
60.045,165.16,32.082,79.276
64.681,160.46,31.427,77.019
69.599,155.43,30.408,74.605
74.762,150.1,29.086,72.05
80.134,144.51,27.521,69.366
85.679,138.69,25.774,66.569
91.36,132.65,23.905,63.673
97.14,126.44,21.974,60.691
102.98,120.08,20.041,57.638
108.85,113.6,18.167,54.528
114.71,107.03,16.412,51.376
120.52,100.41,14.836,48.195
126.25,93.75,13.5,45
131.86,87.094,12.449,41.805
137.36,80.467,11.668,38.624
142.73,73.9,11.128,35.472
147.98,67.421,10.799,32.362
153.11,61.061,10.651,29.309
158.12,54.849,10.655,26.327
163,48.814,10.781,23.431
167.76,42.987,10.999,20.634
172.39,37.396,11.279,17.95
176.9,32.072,11.592,15.395
181.29,27.044,11.908,12.981
185.54,22.342,12.198,10.724
189.67,17.995,12.432,8.6376
193.68,14.033,12.58,6.7358
197.55,10.485,12.612,5.0329
201.3,7.3816,12.499,3.5432
204.92,4.7516,12.211,2.2808
208.41,2.625,11.718,1.26
211.77,1.0313,10.991,0.495
215,-2.8422e-14,10,-2.8422e-14
218.06,-0.47368,8.7549,-0.22737
220.8,-0.53289,7.4243,-0.25579
223,-0.35526,6.2162,-0.17053
224.47,-0.11842,5.3387,-0.056842
225,1.3642e-12,5,0
